epoch,loss,test_acc
1,0.33128403283962443,0.9453
2,0.17038256256115736,0.9568
3,0.1239785376555383,0.9659
4,0.09818700618075062,0.9689
5,0.07978135203804165,0.9732
6,0.06739852682103202,0.976
7,0.058027283567594796,0.9781
8,0.050202291384475316,0.979
9,0.04373363144974505,0.9798
10,0.03829151153773208,0.9796
11,0.034002518327316496,0.9809
12,0.030337783801236966,0.9813
13,0.026609837413076452,0.9814
14,0.02396496934491435,0.9817
15,0.02134213554991067,0.9819
16,0.01923671230508607,0.982
17,0.017199893617818488,0.982
18,0.01564032940646843,0.9824
19,0.014243793929715478,0.9819
20,0.012850879370343347,0.9826
21,0.011606021069975025,0.9819
22,0.010791098884545424,0.9821
23,0.009863969976414984,0.9821
24,0.009097320218260459,0.9826
25,0.008496267500765077,0.9834
26,0.0077917286539641315,0.9822
27,0.007240940894314945,0.9829
28,0.006746475200532297,0.9824
29,0.00625129098423938,0.9828
30,0.0059168441965979195,0.983
31,0.005515580565406012,0.9835
32,0.005211847108546796,0.9837
33,0.004887182164769555,0.9836
34,0.004638735108364575,0.9825
35,0.004414537932209825,0.9831
36,0.004212247645241137,0.9833
37,0.0039518490843008895,0.9828
38,0.003800182310935157,0.9836
39,0.0036061688812733415,0.9832
40,0.003465626898670364,0.9826
41,0.0033203601974075465,0.9833
42,0.0031654538044252733,0.9837
43,0.0030623160702989796,0.9833
44,0.0029313267992592796,0.9832
45,0.0028353725095470635,0.9834
46,0.0027448768035716158,0.9833
47,0.002630016533417409,0.9835
48,0.0025330689971001154,0.9834
49,0.0024676496102132195,0.9829
50,0.0023683048741325744,0.9837
